Product Name,TiO2 Concentration (mg/kg),TiO2 on Ingredient List?,Category - Level 1,Category - Level 2,Category - Level 3,Source,Extra Information
-,14.36,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),Melo et al. (2024),Milk powder
-,18.04,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),Melo et al. (2024),Milk powder
-,42.92,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),Melo et al. (2024),Milk powder
-,34.40,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),Melo et al. (2024),Milk powder
-,31.56,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),Melo et al. (2024),Milk powder
-,1.10,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (rice)
-,1.87,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (rice)
-,8.47,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (rice and oat)
-,1.62,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (rice and oat)
-,1.92,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (multicereal)
-,5.13,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (corn flour)
-,1.85,-,Food,Foods intended for particular nutritional uses as defined by Directive 2009/39/EC (13),Foods for infants and young children (13.1),de Souza et al. (2024),Infant cereal (corn flour)
-,1140,No,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Bucher et al. (2024),Garlic puree 
-,3409.3,Yes,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),He et al. (2022),Fig preserve
-,46.3,Yes,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),He et al. (2022),Jelly (pink colour)
-,38.1,Yes,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),He et al. (2022),Jelly (white colour)
-,2330,Yes,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Hwang et al. (2019),Jelly
-,1300,Yes,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Hwang et al. (2019),Jelly
-,107,-,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Sungur et al. (2020),White chickpeas
Fancy Flake Coconut,11.58,No,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Weir et al. (2012),
Betty Crocker Mashed Potatoes,3.02,No,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Weir et al. (2012),
-,2.20,-,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Cao et al. (2024),Jam
-,610,-,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Cao et al. (2024),Preserved dried fruit
-,130,-,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Cao et al. (2024),Preserved plum
-,1400,-,Food,Fruit and vegetables (04),Processed fruits and vegetables (04.2),Cao et al. (2024),Jelly
Keebler Pepper Jack Crackers,3.15,No,Food,Ready-to-eat savouries and snacks (15),"Potato-, cereal-, flour- or starch-based snacks (15.1)",Weir et al. (2012),
Vics White Cheddar Popcorn,1.97,No,Food,Ready-to-eat savouries and snacks (15),"Potato-, cereal-, flour- or starch-based snacks (15.1)",Weir et al. (2012),
-,10200,-,Food,Ready-to-eat savouries and snacks (15),"Potato-, cereal-, flour- or starch-based snacks (15.1)",Cao et al. (2024),Puffed food
-,7800,-,Food,Ready-to-eat savouries and snacks (15),Processed nuts (15.2),Cao et al. (2024),Fried nuts and seeds (not specified which subcategory the product belongs to)
Mama Shrimp Tom Yum Flavour,22197.65,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Herbs, spices, seasonings (12.2)",Nkenda et al. (2023),Instant noodles seasoning 
Yum Yum Green Curry Flavour,13648.75,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Herbs, spices, seasonings (12.2)",Nkenda et al. (2023),Instant noodles seasoning 
Lays Ranch Seasoning Mix,9.26,No,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Herbs, spices, seasonings (12.2)",Weir et al. (2012),
-,59.4,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Herbs, spices, seasonings (12.2)",Bucher et al. (2024),Golden pepper
-,45,No,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Mustard (12.4),Bucher et al. (2024),Copper-coloured mustard
-,171.84,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Protein products, excluding products covered in category 1.8 (12.9)",Clayton-Cuch (2023),Protein bar
-,535,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Protein products, excluding products covered in category 1.8 (12.9)",Ferraris et al. (2023),High-protein cappucino
-,4919.93,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Protein products, excluding products covered in category 1.8 (12.9)",Ferraris et al. (2023b),High-protein cappucino
-,2.1,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Protein products, excluding products covered in category 1.8 (12.9)",Nkenda et al. (2023),High-protein cappucino (lyophilised)
-,0.58,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)","Protein products, excluding products covered in category 1.8 (12.9)",Nkenda et al. (2023),High-protein spaghetti carbonara (lyophilised)
-,943.1,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Bucher et al. (2024),Fast-food mayonnaise-like sauce
-,1166.17,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Clayton-Cuch (2023),Salad cream
-,3700,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Hwang et al. (2019),
-,940,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Hwang et al. (2019),
-,9175.86,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Dietetic mayonnaise
-,4671.35,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Fatty white sauce
-,2502.51,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Fatty white sauce
-,1968.64,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Aioli
-,1501.5,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Caesar sauce
-,1434.77,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Mayonnaise
-,1151.15,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Mayonnaise
-,1001,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),White chocolate sauce
-,917.59,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Klein et al. (2024),Cocktail sauce
Hellmann's Italian Dressing,7270,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Lomer et al. (2000),
Rayner Burgess Creamed Horseradish,2500,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Lomer et al. (2000),
Hellman's Caesar Dressing,1190,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Lomer et al. (2000),
Waitrose Tartare Sauce,1140,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Lomer et al. (2000),
Cardini's Low Fat Caesar Dressing,930,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Lomer et al. (2000),
-,1217.82,-,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Peters et al. (2014),Mayonnaise
Rabeko Salad Dressing Zero,1755.33,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Nkenda et al. (2023),
Rabeko Tartare Zero,1734.91,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Nkenda et al. (2023),
Rabeko American Sauce Zero,1553.61,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Nkenda et al. (2023),
Wishbone Ranch Dressing,308.64,No,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Weir et al. (2012),
-,2.9,No,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Weir et al. (2012),Turkey gravy
Praise Caesar Dressing,1618.29,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Reed et al. (2015),
Smuckers Orange Cream Shell,1.11,No,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Weir et al. (2012),
Kraft Mayo,1.05,No,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Weir et al. (2012),
-,2640,-,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Cao et al. (2024),Mayonnaise or salad dressing (not specified which subcategory the product belongs to)
-,736.47,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Sauces (12.6),Bastardo-Fernandez et al. (2024),Yogurt sauce
-,2100,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Soups and broths (12.5),da Silveira Estevao et al. (2023),Onion instant soup
-,370,Yes,Food,"Salts, spices, soups, sauces, salads and protein products (12)",Soups and broths (12.5),da Silveira Estevao et al. (2023),Cassava instant soup
-,524.9,Yes,Food,"Sugars, syrups, honey and table-top sweeteners (11)",Other sugars and syrups (11.2),He et al. (2022),Stone sugar (white colour)
-,1564.9,-,Food,"Sugars, syrups, honey and table-top sweeteners (11)",Other sugars and syrups (11.2),Lopez-Heras et al. (2014),Sugar glass
Blistex Classic Lip Protector,494.65,Yes,Personal care products,not applicable,not applicable,Present paper,Lip balm
Labello Pearly Shine,28255.03,Yes,Personal care products,not applicable,not applicable,Present paper,Lip balm
Labello Sun Protect,4720.33,Yes,Personal care products,not applicable,not applicable,Present paper,Lip balm
-,18525.22,Yes,Personal care products,not applicable,not applicable,Adelantado et al. (2020),Lip balm
-,1.03,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,3.84,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),"Lipstick (low-cost, deep-coloured)"
-,60.06,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),"Lipstick (low-cost, light-coloured)"
-,28.61,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,40.37,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,9.43,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,8.04,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,12.26,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,25.69,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,34.79,-,Personal care products,not applicable,not applicable,Al-Mouraee & Zainy (2021),Lipstick
-,28028.27,Yes,Personal care products,not applicable,not applicable,de la Calle et al. (2017),Lip balm SPF 40
-,45378.78,-,Personal care products,not applicable,not applicable,Joca et al. (2022),Solid lipstick
-,24190.89,-,Personal care products,not applicable,not applicable,Joca et al. (2022),Solid lipstick
-,24024.06,-,Personal care products,not applicable,not applicable,Joca et al. (2022),Liquid lipstick
-,23523.56,-,Personal care products,not applicable,not applicable,Lehutso et al. (2021),Lip balm
-,26693.4,-,Personal care products,not applicable,not applicable,Oomen et al. (2011),Lip balm
Oral-B 3D White,1527.6,Yes,Personal care products,not applicable,not applicable,Present paper,Toothpaste
Parodontax Gums + Sensitivity & Breath,8675.52,Yes,Personal care products,not applicable,not applicable,Present paper,Toothpaste
Sensodyne Proglasur For Kids 6-12 Years,791.09,Yes,Personal care products,not applicable,not applicable,Present paper,Toothpaste
Elmex Sensitive Plus Gum Care,4807.23,Yes,Personal care products,not applicable,not applicable,Present paper,Toothpaste
-,6012.69,Yes,Personal care products,not applicable,not applicable,Adelantado et al. (2020),Toothpaste
-,832.5,Yes,Personal care products,not applicable,not applicable,Adelantado et al. (2020),Toothpaste
Colgate,7841.19,-,Personal care products,not applicable,not applicable,Asfaw & Wibetou (2004),Toothpaste
-,8675.36,Yes,Personal care products,not applicable,not applicable,Correia et al. (2018),Toothpaste
-,12345.7,Yes,Personal care products,not applicable,not applicable,de la Calle et al. (2017),Toothpaste for sensitive teeth
-,90.09,Yes,Personal care products,not applicable,not applicable,de la Calle et al. (2017),Toothpaste
-,8200.9,-,Personal care products,not applicable,not applicable,Peters et al. (2014),Toothpaste
-,5188.04,-,Personal care products,not applicable,not applicable,Peters et al. (2014),Toothpaste
-,4739.75,-,Personal care products,not applicable,not applicable,Peters et al. (2014),Toothpaste
-,8700,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,7100,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,6600,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,5030,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,4450,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,4100,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,3850,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,3530,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,3450,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,3360,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,2400,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,2220,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,1710,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,1430,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,1290,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,1020,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,810,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,540,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,520,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,490,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,470,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
-,450,Yes,Personal care products,not applicable,not applicable,Schwab et al. (2012),Toothpaste
Sensodyne Proglasur Gentle Whitening,950.95,Yes,Personal care products,not applicable,not applicable,Verleysen et al. (2022),Toothpaste
-,9622.97,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,6.01,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,6.01,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,16.68,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,27.53,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,62.06,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,97.77,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,59.23,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,67.74,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
-,93.26,-,Personal care products,not applicable,not applicable,Wasim et al. (2022),Toothpaste
Sensodyne,9342.69,-,Personal care products,not applicable,not applicable,Weir et al. (2012),Toothpaste
Colgate,1167.84,-,Personal care products,not applicable,not applicable,Weir et al. (2012),Toothpaste
Dafalgan Forte 1 g,3103.89,Yes,Pharmaceuticals,not applicable,not applicable,Present paper,Analgesic and anti-pyretic (tablet)
Dulcolax Laxative,3702.78,Yes,Pharmaceuticals,not applicable,not applicable,Present paper,Tablet
Allegra Tab 120 mg,3410.48,Yes,Pharmaceuticals,not applicable,not applicable,Present paper,Anti-allergy (tablet)
Perdofemina 400 mg,10869.25,Yes,Pharmaceuticals,not applicable,not applicable,Present paper,Analgesic and anti-pyretic - aimed at women (tablet)
Simvastatin,7891.24,-,Pharmaceuticals,not applicable,not applicable,Leal et al. (2008),Cholesterol 
Fluoxetine,5855.87,-,Pharmaceuticals,not applicable,not applicable,Leal et al. (2008),Anti-depressant
Fluoxetine,1262.93,-,Pharmaceuticals,not applicable,not applicable,Leal et al. (2008),Anti-depressant
Viagra,1701.7,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Cialis ,2522.53,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Lazar,4564.57,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Potent 74 ,6464.81,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Vimax ,4693.03,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Maxfill,1556.56,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Rigix,283.62,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Plenovit,2630.97,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Pramil,4285.96,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
V-50,4988.33,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Libiden,6122.8,-,Pharmaceuticals,not applicable,not applicable,Ortiz et al. (2012),Erectile dysfunction 
Aspirin 81 mg,16683.38,-,Pharmaceuticals,not applicable,not applicable,Weir et al. (2012),Name brand
Aspirin 81 mg,28.36,-,Pharmaceuticals,not applicable,not applicable,Weir et al. (2012),Generic brand
-,4.05,Yes,Pharmaceuticals,not applicable,not applicable,Zachariadis & Sahanidou (2011),Anti-inflammatory (tablet)
-,3.02,Yes,Pharmaceuticals,not applicable,not applicable,Zachariadis & Sahanidou (2011),Anti-inflammatory (tablet)
-,2.55,Yes,Pharmaceuticals,not applicable,not applicable,Zachariadis & Sahanidou (2011),Anti-biotic (tablet)
-,2.1,Yes,Pharmaceuticals,not applicable,not applicable,Zachariadis & Sahanidou (2011),Anti-biotic (tablet)
-,1.43,Yes,Pharmaceuticals,not applicable,not applicable,Zachariadis & Sahanidou (2011),Anti-biotic (tablet)
-,41.63,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,128.91,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,8.79,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,28.86,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,10.44,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,22.34,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,47.06,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,94.08,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,72.14,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,986.46,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,2001.77,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,2808.13,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,300.55,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,14.53,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,414.7,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,14.75,-,Pharmaceuticals,not applicable,not applicable,Zucchi et al. (2005),Anti-inflammatory (tablet)
-,28.56,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,18.04,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,17.37,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,77.82,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,2.00,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,23.05,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,26.22,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,6.18,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen
-,7.18,Yes,Pharmaceuticals,not applicable,not applicable,Holmfred et al. (2024),Ibuprofen